Srno,Company,Timestamp,Title,Description
61,Bharat Petrolium,"05 Apr,2024, 04:22PM IST","Intimation under Regulation 30 of SEBI LODR Regulations, 2015","Intimation under Regulation 30 of SEBI LODR Regulations, 2015"
62,Bharat Petrolium,"04 Apr 2024, 10:48PM IST",Delhi High Court upholds Reliance's inclusion in BPCL-HPCL pipeline case,"The Delhi High Court upheld the Appellate Tribunal for Electricity's order allowing Reliance Industries to be made a party in a case regarding the designation of a pipeline by BPCL and HPCL as a common carrier for petroleum transportation. The court dismissed BPCL's appeal, supporting the tribunal's decision. The issue arose when PSU oil companies questioned whether their pipeline, exclusively for ATF transportation, should be a common carrier. RIL argued that since it initiated the process, it has a stake in the matter. The tribunal had allowed RIL to join the proceedings, a decision opposed by the PSU oil firms."
63,Bharat Petrolium,"04 Apr,2024, 03:42PM IST",Intimation on loss of share certificate.,Intimation on loss of share certificate.
64,Bharat Petrolium,"04 Apr 2024, 02:07PM IST","Kotak Equities retains sell rating on HPCL, IOC & BPCL, estimates up to 33% slide","Kotak Institutional Equities expressed concerns over OMCs' capex plans due to limited pricing freedom. Government's petrol and diesel price cut, along with rising crude oil prices, may impact energy stocks like HPCL, IOC, and BPCL."
65,Bharat Petrolium,"03 Apr 2024, 12:23AM IST","Energy, auto companies bet big on LNG trucks","LNG trucks are called long-haul vehicles, as they have a driving range of 600-1,000 km in a single fuel fill, giving them an edge over other fuels. By 2030, India could see 50,000 trucks serviced through 400 LNG retail stations, according to Emkay Research. India has around 4 million trucks operating, of which 1 to 1.5 million would be diesel-run trucks. Emkay Research says 3-5% of this can be converted to/replaced by LNG by CY30, which implies 50,000 trucks."
66,Bharat Petrolium,"01 Apr,2024, 11:42AM IST",Intimation on change in senior management.,Intimation on change in senior management.
67,Bharat Petrolium,"01 Apr 2024, 12:50AM IST","ONGC energises govt kitty with ?7,224 crore dividend","ONGC's dividend contribution to the state was almost double the ?3,636 crore dividend by Indian Oil Corporation (IOC), nearly three times Bharat Petroleum Corporation's ?2,413 crore, close to four times GAIL's ?1,863 crore and about ten times Oil India's ?737 crore.These are interim dividends and a final instalment usually comes after the companies declare annual earnings."
68,Bharat Petrolium,"01 Apr 2024, 12:50AM IST","ONGC energises govt kitty with ?7,224 crore dividend","ONGC's dividend contribution to the state was almost double the ?3,636 crore dividend by Indian Oil Corporation (IOC), nearly three times Bharat Petroleum Corporation's ?2,413 crore, close to four times GAIL's ?1,863 crore and about ten times Oil India's ?737 crore.These are interim dividends and a final instalment usually comes after the companies declare annual earnings."
69,Bharat Petrolium,"28 Mar,2024, 09:30PM IST",Intimation under Regulation 30,Intimation under Regulation 30
70,Bharat Petrolium,"28 Mar,2024, 09:23PM IST",Intimation on amendment to the object clause of Memorandum of Association,Intimation on amendment to the object clause of Memorandum of Association
